,ID,Category,lat,lng,xIndex,yIndex
35394,4e97ded655032c6b41371e62,Mosque,35.632693,139.703677,67,105
40133,4e97ded655032c6b41371e62,Mosque,35.632693,139.703677,67,105
47994,4b6a7b15f964a52074d62be3,Mosque,35.66811814,139.6764958,87,93
56664,4e97ded655032c6b41371e62,Mosque,35.632693,139.703677,67,105
60502,4e97ded655032c6b41371e62,Mosque,35.632693,139.703677,67,105
66917,4e97ded655032c6b41371e62,Mosque,35.632693,139.703677,67,105
74351,4e97ded655032c6b41371e62,Mosque,35.632693,139.703677,67,105
127832,4d634a712f16b60c3ed7def4,Mosque,35.70717631,139.7747853,109,137
178546,4d634a712f16b60c3ed7def4,Mosque,35.70717631,139.7747853,109,137
184648,4fc7e5c5e4b0681a476b9a85,Mosque,35.68127564,139.766099,94,133
191050,4fc7e5c5e4b0681a476b9a85,Mosque,35.68127564,139.766099,94,133
193455,4fc7e5c5e4b0681a476b9a85,Mosque,35.68127564,139.766099,94,133
205101,4fc7e5c5e4b0681a476b9a85,Mosque,35.68127564,139.766099,94,133
208756,4fc7e5c5e4b0681a476b9a85,Mosque,35.68127564,139.766099,94,133
212274,4fc7e5c5e4b0681a476b9a85,Mosque,35.68127564,139.766099,94,133
225264,4fc7e5c5e4b0681a476b9a85,Mosque,35.68127564,139.766099,94,133
244399,4fc7e5c5e4b0681a476b9a85,Mosque,35.68127564,139.766099,94,133
265984,4fc7e5c5e4b0681a476b9a85,Mosque,35.68127564,139.766099,94,133
298037,4b6a7b15f964a52074d62be3,Mosque,35.66811814,139.6764958,87,93
322011,4f485c51e4b0e44505c713b4,Mosque,35.7198252,139.801761,116,150
324657,4f485c51e4b0e44505c713b4,Mosque,35.7198252,139.801761,116,150
486049,4d634a712f16b60c3ed7def4,Mosque,35.70776975,139.7747204,109,137
498536,4d634a712f16b60c3ed7def4,Mosque,35.70776975,139.7747204,109,137
